Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression,Chrome 137.0.7151.119,Testing all Test Cases for the Cura HealthCare Service,,24-06-2025 15:37:41,24-06-2025 15:39:08,1m - 26.979s,PASSED
,,,,,,,
Test Cases/Reusable Modules/Login,Chrome 137.0.7151.119,This test case to is to test the login functionality with valid user credentials.,,24-06-2025 15:37:42,24-06-2025 15:37:57,14.651s,PASSED
"DATA BINDING - {""(Default) UserN..."":"""",""(Default) Passw..."":""********""}",,,,,,,
"openBrowser("""")",Chrome 137.0.7151.119,,,24-06-2025 15:37:44,24-06-2025 15:37:49,4.822s,PASSED
navigateToUrl(G_MainURL),Chrome 137.0.7151.119,,,24-06-2025 15:37:49,24-06-2025 15:37:51,2.449s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Service/Home Page/a_Make Appointment""))",Chrome 137.0.7151.119,,,24-06-2025 15:37:51,24-06-2025 15:37:53,1.147s,PASSED
if (!(UserName)),Chrome 137.0.7151.119,,,24-06-2025 15:37:53,24-06-2025 15:37:53,0.013s,PASSED
if (!(Password)),Chrome 137.0.7151.119,,,24-06-2025 15:37:53,24-06-2025 15:37:53,0.009s,PASSED
"setText(findTestObject(""Object Repository/CURA Healthcare Service/Login/input_Username_username""), UserName)",Chrome 137.0.7151.119,,,24-06-2025 15:37:53,24-06-2025 15:37:53,0.891s,PASSED
"setEncryptedText(findTestObject(""Object Repository/CURA Healthcare Service/Login/input_Password_password""), Auth.EncryptText(Password))",Chrome 137.0.7151.119,,,24-06-2025 15:37:53,24-06-2025 15:37:54,0.403s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Service/Login/button_Login""))",Chrome 137.0.7151.119,,,24-06-2025 15:37:54,24-06-2025 15:37:54,0.607s,PASSED
"verifyElementText(findTestObject(""Object Repository/CURA Healthcare Service/Home Page/h2_Make Appointment""), ""Make Appointment"")",Chrome 137.0.7151.119,,,24-06-2025 15:37:54,24-06-2025 15:37:55,0.565s,PASSED
,,,,,,,
Test Cases/Week 1 - Kickstart Test Automation/Check User Profile,Chrome 137.0.7151.119,,,24-06-2025 15:37:57,24-06-2025 15:38:09,11.584s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Login""), [""UserName"":findTestData(""User Credentials - Internal"").getValue(""UserName"", 1), ""Password"":findTestData(""User Credentials - Internal"").getValue(""Password"", 1)], STOP_ON_FAILURE)",Chrome 137.0.7151.119,,,24-06-2025 15:37:57,24-06-2025 15:38:05,8.024s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Service/Home Page/i_fa fa-bars""))",Chrome 137.0.7151.119,,,24-06-2025 15:38:05,24-06-2025 15:38:06,0.332s,PASSED
"click(findTestObject(""Object Repository/CURA Healthcare Service/Home Page/a_Profile""))",Chrome 137.0.7151.119,,,24-06-2025 15:38:06,24-06-2025 15:38:06,0.581s,PASSED
"verifyElementText(findTestObject(""Object Repository/CURA Healthcare Service/Home Page/h2_Profile""), ""Profile"")",Chrome 137.0.7151.119,,,24-06-2025 15:38:06,24-06-2025 15:38:07,0.429s,PASSED
,,,,,,,
Test Cases/Week 1 - Kickstart Test Automation/Logout User,Chrome 137.0.7151.119,,,24-06-2025 15:38:09,24-06-2025 15:38:22,13.534s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Login""), [""UserName"":findTestData(""Valid User Credentials"").getValue(""UserName"", 1), ""Password"":findTestData(""Valid User Credentials"").getValue(""Password"", 1)], STOP_ON_FAILURE)",Chrome 137.0.7151.119,,,24-06-2025 15:38:09,24-06-2025 15:38:18,9.365s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Logout""), [:], STOP_ON_FAILURE)",Chrome 137.0.7151.119,,,24-06-2025 15:38:18,24-06-2025 15:38:20,1.998s,PASSED
,,,,,,,
Test Cases/Week 1 - Kickstart Test Automation/Reserve A Medical Appointment,Chrome 137.0.7151.119,,,24-06-2025 15:38:22,24-06-2025 15:38:40,18.273s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Login""), [""UserName"":findTestData(""Valid User Credentials"").getValue(""UserName"", 1), ""Password"":findTestData(""Valid User Credentials"").getValue(""Password"", 1)], STOP_ON_FAILURE)",Chrome 137.0.7151.119,,,24-06-2025 15:38:22,24-06-2025 15:38:31,9.024s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Make Appointment""), [:], STOP_ON_FAILURE)",Chrome 137.0.7151.119,,,24-06-2025 15:38:31,24-06-2025 15:38:36,5.189s,PASSED
"callTestCase(findTestCase(""Reusable Modules/Logout""), [:], STOP_ON_FAILURE)",Chrome 137.0.7151.119,,,24-06-2025 15:38:36,24-06-2025 15:38:38,1.895s,PASSED
,,,,,,,
Test Cases/Week 2 - Keyword Driven Test/Make An Appointment - Manually,Chrome 137.0.7151.119,,,24-06-2025 15:38:40,24-06-2025 15:39:08,27.669s,PASSED
"Auth.Login(G_Cura_UserName, G_Cura_Password)",Chrome 137.0.7151.119,,,24-06-2025 15:38:41,24-06-2025 15:38:49,7.924s,PASSED
for (def n : (0..2)),Chrome 137.0.7151.119,,,24-06-2025 15:38:49,24-06-2025 15:39:06,17.021s,PASSED
closeBrowser(),Chrome 137.0.7151.119,,,24-06-2025 15:39:06,24-06-2025 15:39:06,0.437s,PASSED
"Completed.Congrats(""Tester"")",Chrome 137.0.7151.119,,,24-06-2025 15:39:06,24-06-2025 15:39:06,0.013s,PASSED
